"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
invertivores-benthic,Gobiidae,Cabillus tongarevae,"0.105
[0.004, 0.516]","0.442
[0.05, 0.942]","0.093
[0.005, 0.607]","0.196
[0.013, 0.728]"
invertivores-benthic,Gobiidae,Priolepis semidoliata,"0.074
[0.004, 0.46]","0.416
[0.033, 0.919]","0.099
[0.004, 0.602]","0.245
[0.015, 0.81]"
invertivores-benthic,Gobiidae,Priolepis squamogena,"0.043
[0.002, 0.341]","0.377
[0.028, 0.908]","0.089
[0.004, 0.712]","0.319
[0.018, 0.876]"
invertivores-benthic,Gobiidae,Valenciennea strigata,"0.238
[0.007, 0.513]","0.537
[0.095, 0.914]","0.062
[0.005, 0.199]","0.137
[0.015, 0.392]"
invertivores-benthic,Holocentridae,-,"0.106
[0.026, 0.312]","0.155
[0.03, 0.435]","0.367
[0.122, 0.677]","0.312
[0.051, 0.665]"
invertivores-benthic,Holocentridae,Myripristis berndti,"0.147
[0.013, 0.299]","0.068
[0.007, 0.258]","0.391
[0.134, 0.61]","0.369
[0.03, 0.807]"
invertivores-benthic,Holocentridae,Myripristis kuntee,"0.094
[0.012, 0.221]","0.167
[0.021, 0.347]","0.469
[0.254, 0.638]","0.252
[0.037, 0.6]"
invertivores-benthic,Holocentridae,Myripristis violacea,"0.125
[0.013, 0.27]","0.104
[0.018, 0.241]","0.458
[0.271, 0.642]","0.297
[0.033, 0.591]"
invertivores-benthic,Labridae,-,"0.103
[0.042, 0.212]","0.386
[0.196, 0.572]","0.279
[0.097, 0.462]","0.205
[0.024, 0.551]"
invertivores-benthic,Labridae,Anampses caeruleopunctatus,"0.129
[0.014, 0.325]","0.332
[0.071, 0.658]","0.285
[0.035, 0.485]","0.184
[0.015, 0.741]"
invertivores-benthic,Labridae,Cheilinus chlorourus,"0.112
[0.041, 0.248]","0.648
[0.406, 0.822]","0.142
[0.029, 0.26]","0.083
[0.016, 0.276]"
invertivores-benthic,Labridae,Cheilinus oxycephalus,"0.053
[0.008, 0.155]","0.212
[0.038, 0.499]","0.537
[0.037, 0.757]","0.147
[0.011, 0.802]"
invertivores-benthic,Labridae,Cheilinus trilobatus,"0.153
[0.052, 0.278]","0.425
[0.186, 0.646]","0.241
[0.066, 0.369]","0.153
[0.02, 0.528]"
invertivores-benthic,Labridae,Coris aygula,"0.111
[0.009, 0.475]","0.59
[0.229, 0.853]","0.13
[0.021, 0.29]","0.105
[0.011, 0.463]"
invertivores-benthic,Labridae,Coris gaimard,"0.069
[0.008, 0.21]","0.307
[0.047, 0.558]","0.329
[0.017, 0.527]","0.222
[0.012, 0.878]"
invertivores-benthic,Labridae,Gomphosus varius,"0.04
[0.005, 0.13]","0.331
[0.021, 0.563]","0.307
[0.005, 0.526]","0.236
[0.011, 0.944]"
invertivores-benthic,Labridae,Halichoeres hortulanus,"0.194
[0.018, 0.453]","0.475
[0.078, 0.801]","0.124
[0.014, 0.27]","0.164
[0.013, 0.576]"
invertivores-benthic,Labridae,Halichoeres marginatus,"0.142
[0.015, 0.35]","0.426
[0.092, 0.768]","0.219
[0.029, 0.413]","0.16
[0.014, 0.586]"
invertivores-benthic,Labridae,Halichoeres trimaculatus,"0.205
[0.079, 0.406]","0.562
[0.24, 0.803]","0.121
[0.024, 0.253]","0.094
[0.016, 0.297]"
invertivores-benthic,Labridae,Hemigymnus fasciatus,"0.113
[0.019, 0.248]","0.22
[0.078, 0.393]","0.417
[0.193, 0.579]","0.237
[0.016, 0.604]"
invertivores-benthic,Labridae,Novaculichthys taeniourus,"0.063
[0.007, 0.246]","0.481
[0.143, 0.775]","0.216
[0.018, 0.433]","0.153
[0.012, 0.783]"
invertivores-benthic,Labridae,Pseudocheilinus tetrataenia,"0.049
[0.006, 0.205]","0.315
[0.039, 0.79]","0.261
[0.019, 0.786]","0.231
[0.016, 0.828]"
invertivores-benthic,Labridae,Pseudodax moluccanus,"0.076
[0.009, 0.304]","0.124
[0.024, 0.288]","0.592
[0.198, 0.811]","0.14
[0.011, 0.709]"
