"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
invertivores-benthic,Chaetodontidae,Forcipiger flavissimus,"0.047
[0.004, 0.168]","0.117
[0.006, 0.465]","0.302
[0.054, 0.546]","0.509
[0.006, 0.856]"
invertivores-benthic,Chaetodontidae,Forcipiger longirostris,"0.044
[0.004, 0.147]","0.078
[0.006, 0.277]","0.632
[0.414, 0.766]","0.228
[0.006, 0.509]"
invertivores-benthic,Creediidae,-,"0.036
[0.001, 0.175]","0.11
[0.008, 0.682]","0.34
[0.027, 0.834]","0.428
[0.04, 0.851]"
invertivores-benthic,Creediidae,Limnichthys nitidus,"0.01
[0, 0.082]","0.068
[0.002, 0.728]","0.537
[0.014, 0.938]","0.262
[0.012, 0.923]"
invertivores-benthic,Diodontidae,-,"0.036
[0, 0.173]","0.059
[0.002, 0.33]","0.231
[0.003, 0.621]","0.616
[0.168, 0.99]"
invertivores-benthic,Diodontidae,Diodon hystrix,"0.01
[0, 0.087]","0.01
[0, 0.1]","0.091
[0.001, 0.604]","0.873
[0.235, 0.996]"
invertivores-benthic,Gobiidae,-,"0.065
[0.003, 0.237]","0.191
[0.017, 0.875]","0.262
[0.015, 0.564]","0.4
[0.029, 0.737]"
invertivores-benthic,Gobiidae,Cabillus tongarevae,"0.059
[0.001, 0.291]","0.185
[0.006, 0.945]","0.148
[0.006, 0.638]","0.413
[0.013, 0.917]"
invertivores-benthic,Gobiidae,Priolepis semidoliata,"0.035
[0.001, 0.2]","0.162
[0.005, 0.914]","0.241
[0.009, 0.75]","0.363
[0.014, 0.92]"
invertivores-benthic,Gobiidae,Priolepis squamogena,"0.026
[0.001, 0.131]","0.157
[0.006, 0.86]","0.393
[0.01, 0.827]","0.265
[0.017, 0.836]"
invertivores-benthic,Gobiidae,Valenciennea strigata,"0.228
[0.001, 0.553]","0.455
[0.011, 0.924]","0.107
[0.009, 0.299]","0.177
[0.014, 0.482]"
invertivores-benthic,Holocentridae,-,"0.06
[0.008, 0.221]","0.054
[0.004, 0.238]","0.528
[0.214, 0.854]","0.322
[0.044, 0.651]"
invertivores-benthic,Holocentridae,Myripristis berndti,"0.069
[0.002, 0.169]","0.009
[0.001, 0.066]","0.691
[0.433, 0.858]","0.226
[0.01, 0.541]"
invertivores-benthic,Holocentridae,Myripristis kuntee,"0.058
[0.003, 0.157]","0.051
[0.002, 0.203]","0.664
[0.46, 0.808]","0.202
[0.025, 0.483]"
invertivores-benthic,Holocentridae,Myripristis violacea,"0.051
[0.003, 0.143]","0.026
[0.002, 0.117]","0.75
[0.52, 0.864]","0.158
[0.019, 0.422]"
invertivores-benthic,Labridae,-,"0.082
[0.021, 0.199]","0.106
[0.015, 0.438]","0.332
[0.167, 0.54]","0.455
[0.045, 0.676]"
invertivores-benthic,Labridae,Anampses caeruleopunctatus,"0.103
[0.006, 0.298]","0.094
[0.004, 0.483]","0.356
[0.042, 0.605]","0.384
[0.032, 0.872]"
invertivores-benthic,Labridae,Cheilinus chlorourus,"0.148
[0.031, 0.345]","0.294
[0.028, 0.714]","0.19
[0.056, 0.344]","0.331
[0.03, 0.609]"
invertivores-benthic,Labridae,Cheilinus oxycephalus,"0.029
[0.003, 0.118]","0.049
[0.003, 0.253]","0.685
[0.088, 0.903]","0.196
[0.015, 0.838]"
invertivores-benthic,Labridae,Cheilinus trilobatus,"0.136
[0.026, 0.284]","0.156
[0.01, 0.516]","0.279
[0.075, 0.471]","0.402
[0.035, 0.721]"
invertivores-benthic,Labridae,Coris aygula,"0.175
[0.005, 0.435]","0.059
[0.004, 0.671]","0.061
[0.009, 0.305]","0.654
[0.031, 0.89]"
invertivores-benthic,Labridae,Coris gaimard,"0.034
[0.003, 0.139]","0.041
[0.003, 0.345]","0.232
[0.018, 0.615]","0.675
[0.027, 0.942]"
invertivores-benthic,Labridae,Gomphosus varius,"0.028
[0.002, 0.12]","0.034
[0.003, 0.356]","0.227
[0.019, 0.613]","0.697
[0.025, 0.948]"
invertivores-benthic,Labridae,Halichoeres hortulanus,"0.202
[0.011, 0.445]","0.188
[0.019, 0.643]","0.173
[0.025, 0.385]","0.41
[0.031, 0.669]"
invertivores-benthic,Labridae,Halichoeres marginatus,"0.118
[0.006, 0.355]","0.193
[0.007, 0.643]","0.242
[0.029, 0.486]","0.368
[0.031, 0.846]"
invertivores-benthic,Labridae,Halichoeres trimaculatus,"0.214
[0.057, 0.48]","0.374
[0.01, 0.731]","0.187
[0.055, 0.36]","0.202
[0.029, 0.502]"
invertivores-benthic,Labridae,Hemigymnus fasciatus,"0.092
[0.009, 0.196]","0.061
[0.005, 0.254]","0.629
[0.442, 0.746]","0.197
[0.029, 0.451]"
invertivores-benthic,Labridae,Novaculichthys taeniourus,"0.045
[0.003, 0.216]","0.092
[0.007, 0.55]","0.103
[0.01, 0.502]","0.725
[0.03, 0.93]"
invertivores-benthic,Labridae,Pseudocheilinus tetrataenia,"0.037
[0.003, 0.154]","0.076
[0.004, 0.608]","0.429
[0.037, 0.833]","0.357
[0.025, 0.887]"
invertivores-benthic,Labridae,Pseudodax moluccanus,"0.027
[0.002, 0.121]","0.018
[0.001, 0.138]","0.802
[0.38, 0.939]","0.121
[0.013, 0.564]"
invertivores-benthic,Labridae,Thalassoma hardwicke,"0.125
[0.025, 0.239]","0.069
[0.005, 0.526]","0.184
[0.033, 0.451]","0.599
[0.023, 0.826]"
invertivores-benthic,Labridae,Thalassoma lutescens,"0.073
[0.005, 0.242]","0.091
[0.005, 0.379]","0.475
[0.066, 0.692]","0.316
[0.025, 0.856]"
invertivores-benthic,Labridae,Thalassoma purpureum,"0.084
[0.006, 0.272]","0.077
[0.006, 0.348]","0.516
[0.156, 0.73]","0.274
[0.029, 0.749]"
invertivores-benthic,Labridae,Thalassoma quinquevittatum,"0.044
[0.004, 0.163]","0.078
[0.004, 0.501]","0.442
[0.042, 0.808]","0.353
[0.024, 0.887]"
invertivores-benthic,Labridae,Thalassoma trilobatum,"0.063
[0.004, 0.238]","0.102
[0.005, 0.391]","0.441
[0.063, 0.667]","0.35
[0.028, 0.843]"
invertivores-benthic,Mullidae,-,"0.028
[0.001, 0.128]","0.091
[0.015, 0.305]","0.172
[0.006, 0.441]","0.673
[0.359, 0.943]"
invertivores-benthic,Mullidae,Mulloidichthys flavolineatus,"0.01
[0, 0.067]","0.263
[0.108, 0.419]","0.044
[0.003, 0.161]","0.672
[0.495, 0.834]"
invertivores-benthic,Mullidae,Mulloidichthys vanicolensis,"0.037
[0.001, 0.265]","0.102
[0.013, 0.307]","0.144
[0.004, 0.445]","0.672
[0.231, 0.937]"
invertivores-benthic,Mullidae,Parupeneus barberinus,"0.02
[0, 0.209]","0.06
[0.005, 0.278]","0.141
[0.003, 0.672]","0.732
[0.119, 0.97]"
invertivores-benthic,Mullidae,Parupeneus ciliatus,"0.035
[0.001, 0.399]","0.137
[0.015, 0.465]","0.156
[0.004, 0.533]","0.588
[0.107, 0.933]"
invertivores-benthic,Mullidae,Parupeneus insularis,"0.011
[0, 0.097]","0.019
[0.002, 0.088]","0.145
[0.002, 0.418]","0.807
[0.5, 0.987]"
invertivores-benthic,Mullidae,Parupeneus multifasciatus,"0.012
[0, 0.074]","0.041
[0.003, 0.154]","0.162
[0.002, 0.389]","0.77
[0.487, 0.98]"
invertivores-benthic,Pempheridae,-,"0.046
[0.002, 0.197]","0.088
[0.007, 0.399]","0.422
[0.131, 0.87]","0.379
[0.036, 0.756]"
invertivores-benthic,Pempheridae,Pempheris oualensis,"0.023
[0.001, 0.12]","0.038
[0.002, 0.155]","0.749
[0.412, 0.907]","0.166
[0.014, 0.525]"
invertivores-benthic,Pinguipedidae,-,"0.064
[0.005, 0.302]","0.174
[0.015, 0.755]","0.249
[0.029, 0.572]","0.427
[0.033, 0.777]"
invertivores-benthic,Pinguipedidae,Parapercis millepunctata,"0.103
[0.003, 0.336]","0.388
[0.007, 0.749]","0.161
[0.016, 0.366]","0.345
[0.026, 0.708]"
invertivores-benthic,Syngnathidae,-,"0.063
[0.002, 0.281]","0.172
[0.012, 0.884]","0.233
[0.014, 0.546]","0.425
[0.03, 0.803]"
invertivores-benthic,Syngnathidae,Corythoichthys flavofasciatus,"0.135
[0.001, 0.424]","0.391
[0.007, 0.916]","0.115
[0.007, 0.4]","0.262
[0.015, 0.791]"
invertivores-benthic,Syngnathidae,Doryrhamphus excisus,"0.04
[0.001, 0.206]","0.155
[0.004, 0.901]","0.192
[0.006, 0.667]","0.43
[0.016, 0.934]"
invertivores-sessile,-,-,"0.055
[0.021, 0.122]","0.32
[0.167, 0.474]","0.517
[0.38, 0.676]","0.092
[0.013, 0.236]"
invertivores-sessile,Blenniidae,-,"0.053
[0.016, 0.137]","0.338
[0.15, 0.557]","0.496
[0.287, 0.676]","0.094
[0.012, 0.295]"
invertivores-sessile,Blenniidae,Exallias brevis,"0.05
[0.011, 0.121]","0.398
[0.156, 0.58]","0.423
[0.287, 0.553]","0.109
[0.009, 0.375]"
invertivores-sessile,Chaetodontidae,-,"0.053
[0.022, 0.103]","0.366
[0.235, 0.487]","0.48
[0.373, 0.583]","0.093
[0.013, 0.23]"
