id,year,type,species,tl,sl,weight,d15N,d13C
CE_AR_TA_03_16_008,2016,Fishes,Cephalopholis argus,30.619600000000002,26.826299999999996,384.4,12.1548768758833,-12.8684266589416
CE_AR_TA_03_16_009,2016,Fishes,Cephalopholis argus,34.226,31.360599999999998,607.1,12.0328837077924,-10.5605428483549
CE_AR_TA_03_16_010,2016,Fishes,Cephalopholis argus,27.6486,24.235599999999998,285.3,12.6130951170049,-13.142630676041
CE_AR_TA_03_16_011,2016,Fishes,Cephalopholis argus,25.9444,23.8549,256.7,12.8402206088162,-13.3580766894762
CE_AR_TA_03_16_012,2016,Fishes,Cephalopholis argus,26.897699999999997,24.5714,319.6,12.1142124865197,-11.896743376125
CE_AR_TA_03_16_013,2016,Fishes,Cephalopholis argus,32.4731,28.0901,578.4,12.3601824514507,-11.3613926760738
CE_AR_TA_03_16_014,2016,Fishes,Cephalopholis argus,31.014100000000003,27.0306,360,13.4234074611528,-14.9075470083237
CE_AR_TA_03_16_015,2016,Fishes,Cephalopholis argus,25.750999999999998,22.6842,266.3,12.6408659194971,-13.6137828165332
CE_FL_MO_03_16_001,2016,Fishes,Centropyge flavissima,9.7487,7.981,19,10.1502348527405,-13.6208750221401
CE_FL_MO_03_16_002,2016,Fishes,Centropyge flavissima,9.6232,7.813599999999999,19.1,11.5654309616115,-17.6395483328734
CE_FL_MO_03_16_003,2016,Fishes,Centropyge flavissima,9.3512,7.855500000000001,17.4,10.8608143596525,-17.428151596549
CE_FL_MO_03_16_004,2016,Fishes,Centropyge flavissima,8.273900000000001,7.0813999999999995,14.5,10.5200714366868,-13.8012853628128
CE_LE_MO_03_16_001,2016,Fishes,Cephalopholis leopardus,13.633199999999999,11.5703,38.1,13.9570681368407,-15.4480449794491
CE_LE_MO_03_16_002,2016,Fishes,Cephalopholis leopardus,9.7869,8.3113,14,12.9072326867504,-16.2539286295738
CE_LE_MO_03_16_003,2016,Fishes,Cephalopholis leopardus,9.2912,8.0078,14.3,13.810348923797,-15.7714588127228
CH_AU_MO_03_16_001,2016,Fishes,Chaetodon auriga,6.504300000000001,5.6423000000000005,5.8,8.40906660643289,-9.48262375954653
CH_AU_MO_03_16_002,2016,Fishes,Chaetodon auriga,6.3664000000000005,5.570600000000001,5.3,8.33949938197996,-8.58045081917202
