id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
CH_SO_MO_03_16_012,2016,Chlorurus spilurus,Scaridae,20.6635,3.028368858830257,18.7276,171,microphages,-10.4277603349,7.20932776235854,2.3209199839887855,Post,0.39,3.4,-10.942919128655626,2.7181998167966697
CH_SO_MO_03_16_013,2016,Chlorurus spilurus,Scaridae,19.7295,2.982114977594806,17.2927,137.9,microphages,-9.8321139288489,7.02779848127445,2.3209199839887855,Post,0.39,3.4,-10.347272722604526,2.53667053571258
CH_SO_MO_03_16_014,2016,Chlorurus spilurus,Scaridae,21.0155,3.0452602607031882,19.2397,140.5,microphages,-8.36910406210813,6.01500396768509,2.3209199839887855,Post,0.39,3.4,-8.884262855863756,1.5238760221232202
CH_SO_MO_03_16_015,2016,Chlorurus spilurus,Scaridae,18.8004,2.9338781462053047,16.5775,132.5,microphages,-7.76386764236395,5.56068478333256,2.3209199839887855,Post,0.39,3.4,-8.279026436119576,1.0695568377706897
CH_SO_MO_03_16_016,2016,Chlorurus spilurus,Scaridae,18.2632,2.9048881062532654,16.537200000000002,99.5,microphages,-10.3116146135054,6.6984666707831,2.3209199839887855,Post,0.39,3.4,-10.826773407261026,2.2073387252212298
CH_SO_MO_03_16_017,2016,Chlorurus spilurus,Scaridae,17.396,2.856240294735392,16.0864,104,microphages,-10.4043180792056,6.2699385318305,2.3209199839887855,Post,0.39,3.4,-10.919476872961226,1.77881058626863
CH_SO_MO_03_16_018,2016,Chlorurus spilurus,Scaridae,18.445,2.914793331048639,16.7702,96.9,microphages,-9.40162886973508,7.06053326966666,2.3209199839887855,Post,0.39,3.4,-9.916787663490705,2.56940532410479
CH_SO_MO_03_16_019,2016,Chlorurus spilurus,Scaridae,16.3703,2.795468717421596,14.8821,82,microphages,-6.77822734612563,4.94765147344203,2.3209199839887855,Post,0.39,3.4,-7.293386139881256,0.4565235278801598
CH_SO_TA_03_16_021,2016,Chlorurus spilurus,Scaridae,29.056400000000004,3.369238768843949,24.4694,370.4,microphages,-6.13054546149458,5.89841622580772,2.3209199839887855,Post,0.39,3.4,-6.645704255250206,1.40728828024585
CH_SO_TA_03_16_022,2016,Chlorurus spilurus,Scaridae,25.7015,3.2465493559567142,22.2518,321.9,microphages,-7.59280013718131,5.63670087281071,2.3209199839887855,Post,0.39,3.4,-8.107958930936936,1.14557292724884
CH_SO_TA_03_16_023,2016,Chlorurus spilurus,Scaridae,25.4762,3.2377446830042893,22.8887,363.6,microphages,-5.84212394460786,5.4384316659947904,2.3209199839887855,Post,0.39,3.4,-6.3572827383634865,0.9473037204329202
CH_SO_TA_03_16_025,2016,Chlorurus spilurus,Scaridae,26.777800000000003,3.28757318602961,23.6079,326.5,microphages,-5.29921285399756,5.16283746852066,2.3209199839887855,Post,0.39,3.4,-5.814371647753186,0.6717095229587899
CH_SO_TA_03_16_026,2016,Chlorurus spilurus,Scaridae,34.4108,3.538370468594641,30.2481,613.3,microphages,-6.57590221551085,5.25106726555375,2.3209199839887855,Post,0.39,3.4,-7.091061009266476,0.7599393199918794
SC_AL_MO_03_16_004,2016,Scarus altipinnis,Scaridae,26.514100000000003,3.277676666961912,23.6847,295.9,microphages,-9.66795053625233,5.14895862404355,2.200644927966666,Post,0.39,3.4,-10.13620205815933,1.0667658689568844
SC_AL_MO_03_16_005,2016,Scarus altipinnis,Scaridae,34.908,3.552716029301065,30.378500000000003,660.6,microphages,-10.9934170660626,6.61119402431095,2.200644927966666,Post,0.39,3.4,-11.4616685879696,2.5290012692242847
SC_PS_MO_03_16_001,2016,Scarus psittacus,Scaridae,20.3913,3.0151083392974907,18.2608,134.6,microphages,-8.18541651391928,5.24375789382461,2.0851961769855856,Post,0.39,3.4,-8.608643022943658,1.5540908920736194
SC_PS_MO_03_16_002,2016,Scarus psittacus,Scaridae,20.001,2.995782272304033,17.2464,136.8,microphages,-7.30246145866518,5.21294955156689,2.0851961769855856,Post,0.39,3.4,-7.7256879676895585,1.523282549815899
SC_PS_MO_03_16_003,2016,Scarus psittacus,Scaridae,19.5276,2.971828849472432,17.1429,112.7,microphages,-8.4395196616224,5.84501747659636,2.0851961769855856,Post,0.39,3.4,-8.862746170646778,2.155350474845369
