id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
AC_TR_MO_03_16_014,2016,Acanthurus triostegus,Acanthuridae,17.434800000000003,2.8584682088831563,14.2726,107.3,herbivores-detritivores,-12.667746386519,7.81468810968358,2.573585597368867,McCutchan,1.3,2.9,-14.713407663098526,3.251289877313866
AC_TR_MO_03_16_015,2016,Acanthurus triostegus,Acanthuridae,15.3409,2.7305224643615005,12.6488,84.6,herbivores-detritivores,-13.3198759191857,7.95347655445472,2.573585597368867,McCutchan,1.3,2.9,-15.365537195765226,3.3900783220850057
AC_TR_MO_03_16_016,2016,Acanthurus triostegus,Acanthuridae,17.1356,2.8411581707625473,13.6316,113.6,herbivores-detritivores,-9.95000981379596,7.03449878086294,2.573585597368867,McCutchan,1.3,2.9,-11.995671090375486,2.471100548493226
CT_ST_MO_03_16_001,2016,Ctenochaetus striatus,Acanthuridae,17.412,2.857159623690051,12.9091,78,herbivores-detritivores,-8.74013284594493,7.46061944032365,2.925598076992998,McCutchan,1.3,2.9,-11.243410346035827,1.8763850170439555
CT_ST_MO_03_16_002,2016,Ctenochaetus striatus,Acanthuridae,16.04,2.7750856024383683,11.7294,47,herbivores-detritivores,-9.98928447939779,8.54863980939377,2.925598076992998,McCutchan,1.3,2.9,-12.492561979488688,2.964405386114075
CT_ST_MO_03_16_003,2016,Ctenochaetus striatus,Acanthuridae,18.7646,2.93197211607948,13.7803,87,herbivores-detritivores,-10.1699109351061,8.71427280997236,2.925598076992998,McCutchan,1.3,2.9,-12.673188435196998,3.130038386692666
CT_ST_MO_03_16_004,2016,Ctenochaetus striatus,Acanthuridae,17.6999,2.8735589898463094,13.0087,74,herbivores-detritivores,-10.3113653883717,8.51491812065322,2.925598076992998,McCutchan,1.3,2.9,-12.814642888462597,2.930683697373526
CT_ST_MO_03_16_005,2016,Ctenochaetus striatus,Acanthuridae,19.1168,2.950567529599599,13.931299999999998,73,herbivores-detritivores,-10.3353038343089,8.05669987953162,2.925598076992998,McCutchan,1.3,2.9,-12.838581334399798,2.472465456251925
CT_ST_MO_03_16_006,2016,Ctenochaetus striatus,Acanthuridae,17.8766,2.883492595063757,13.0921,76,herbivores-detritivores,-9.75969302063598,8.1727421613741,2.925598076992998,McCutchan,1.3,2.9,-12.262970520726878,2.588507738094405
CT_ST_MO_03_16_007,2016,Ctenochaetus striatus,Acanthuridae,21.7856,3.0812492010767536,16.689,136,herbivores-detritivores,-9.58124278728557,9.07330961362175,2.925598076992998,McCutchan,1.3,2.9,-12.084520287376467,3.4890751903420565
CT_ST_MO_03_16_008,2016,Ctenochaetus striatus,Acanthuridae,21.7629,3.0802066851666337,17.2337,148,herbivores-detritivores,-8.61717628272179,8.17373397574882,2.925598076992998,McCutchan,1.3,2.9,-11.120453782812687,2.5894995524691264
CT_ST_MO_03_16_009,2016,Ctenochaetus striatus,Acanthuridae,21.122,3.0503151513242828,15.7309,107,herbivores-detritivores,-10.5638071818918,8.78469163057763,2.925598076992998,McCutchan,1.3,2.9,-13.067084681982697,3.2004572072979354
CT_ST_MO_03_16_010,2016,Ctenochaetus striatus,Acanthuridae,18.8335,2.9356371990026506,13.8506,90,herbivores-detritivores,-10.8858880908657,8.97611180489899,2.925598076992998,McCutchan,1.3,2.9,-13.389165590956598,3.3918773816192953
CT_ST_MO_03_16_011,2016,Ctenochaetus striatus,Acanthuridae,19.6762,2.9794097835490487,14.7953,113,herbivores-detritivores,-10.6367106308825,8.84023323556207,2.925598076992998,McCutchan,1.3,2.9,-13.139988130973398,3.2559988122823764
