id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
MOO18_F564,2018,Abudefduf septemfasciatus,Pomacentridae,16.7,2.8154087194227095,12.4,129.5,omnivores-benthic,-11.8541082921174,8.40273260403336,2.8184773350100825,Post,0.39,3.4,-12.563314452771333,2.21990966499908
MOO18_F577,2018,Pygoplites diacanthus,Pomacanthidae,18.5,2.917770732084279,14.2,120.1,omnivores-benthic,-16.6703075189264,9.43587174195548,3.288336045761489,Post,0.39,3.4,-17.56275857677338,1.6555291863664188
MOO18_F595,2018,Centropyge flavissima,Pomacanthidae,9.4,2.2407096892759584,7.2,19.9,omnivores-benthic,-18.11913123695,9.35399339531696,3.1566069002675983,Post,0.39,3.4,-18.960207928054363,2.021529934407127
MOO18_F597,2018,Centropyge flavissima,Pomacanthidae,8.7,2.163323025660538,7.2,18.2,omnivores-benthic,-19.5114686677456,10.1874965644687,3.1566069002675983,Post,0.39,3.4,-20.352545358849962,2.855033103558867
MOO18_F630,2018,Centropyge bispinosa,Pomacanthidae,8.4,2.128231705849268,6.9,18.2,omnivores-benthic,-16.1234315325674,8.77739248416877,2.7013928566064207,Post,0.39,3.4,-16.786974746643903,2.9926567717069394
MOO18_F646,2018,Cantherhines sandwichiensis,Monacanthidae,15,2.70805020110221,12.4,70.9,omnivores-benthic,-15.179058650384,9.17220694064476,2.7566065741683583,Post,0.39,3.4,-15.86413521430966,3.199744588472341
MOO18_F647,2018,Cantherhines sandwichiensis,Monacanthidae,15.4,2.7343675094195836,12.9,78.4,omnivores-benthic,-16.0771000863643,9.06775360143145,2.7566065741683583,Post,0.39,3.4,-16.76217665028996,3.0952912492590317
MOO18_F680,2018,Ostracion meleagris,Ostraciidae,12.1,2.4932054526026954,9.7,36.3,omnivores-benthic,-17.9244432817836,8.61640018152808,2.588627645663988,Post,0.39,3.4,-18.544008063592553,3.215066186270522
MOO18_F694,2018,Cantherhines sandwichiensis,Monacanthidae,17.2,2.8449093838194073,13.1,102,omnivores-benthic,-16.2210233022294,8.15354731143609,2.7566065741683583,Post,0.39,3.4,-16.90609986615506,2.1810849592636723
MOO19_F728,2019,Platax orbicularis,Ephippidae,29.6,3.3877743613300146,23.8,965,omnivores-benthic,-14.79,9.5,3.0448085139958803,Post,0.39,3.4,-15.587475320458392,2.5476510524140075
MOO19_F732,2019,Pomacanthus imperator,Pomacanthidae,22.5,3.1135153092103742,18.1,375,omnivores-benthic,-16.61,10.15,3.2027586071938563,Post,0.39,3.4,-17.469075856805603,2.6606207355408893
MOO19_F733,2019,Pygoplites diacanthus,Pomacanthidae,22.1,3.095577608523707,17.9,265.6,omnivores-benthic,-16.44,10.14,3.288336045761489,Post,0.39,3.4,-17.33245105784698,2.3596574444109386
MOO19_F736,2019,Cantherhines sandwichiensis,Monacanthidae,11.5,2.4423470353692043,9.1,43.9,omnivores-benthic,-14.36,8.91,2.7566065741683583,Post,0.39,3.4,-15.04507656392566,2.9375376478275816
MOO19_F752,2019,Pygoplites diacanthus,Pomacanthidae,15.5,2.740840023925201,12.1,78.96,omnivores-benthic,-15.04,10.13,3.288336045761489,Post,0.39,3.4,-15.93245105784698,2.349657444410939
MOO19_F754,2019,Canthigaster solandri,Tetraodontidae,7,1.9459101490553132,5.3,10.43,omnivores-benthic,-14.59,8.16,2.396399895099478,Post,0.39,3.4,-15.134595959088797,3.4122403566617754
MOO19_F777,2019,Canthigaster solandri,Tetraodontidae,8,2.0794415416798357,5.9,17.5,omnivores-benthic,-14.33,7.83,2.396399895099478,Post,0.39,3.4,-14.874595959088797,3.0822403566617753
MOO19_F779,2019,Canthigaster solandri,Tetraodontidae,8.6,2.151762203259462,6.4,18.7,omnivores-benthic,-14.64,7.28,2.396399895099478,Post,0.39,3.4,-15.184595959088798,2.5322403566617755
